hostname,sy_snum,sy_pnum,pl_bmasse,pl_bmassj,st_mass
HD 108236,1,5,9.71000,0.03060,0.87
HD 108236,1,5,4.72000,0.01490,0.87
HD 108863,1,1,767.24162,2.41400,1.59
HD 108874,1,2,451.31860,1.42000,1.10
HD 108874,1,2,314.64000,0.99000,0.95
HD 109246,1,1,273.33380,0.86000,1.20
HD 109271,1,2,17.16200,0.05400,1.05
HD 109271,1,2,24.15400,0.07600,1.05
HD 110014,1,1,3524.59000,11.09000,2.17
HD 110113,1,2,4.55000,0.01432,1.00
HD 110113,1,2,10.50000,0.03304,1.00
HD 111232,1,1,2269.30620,7.14000,0.84
HD 111591,1,1,1398.45200,4.40000,1.94
HD 111998,1,1,1433.41330,4.51000,1.18
HD 112640,1,1,1589.15000,5.00000,1.80
HD 113337,1,1,899.42000,2.83000,1.40
HD 113538,1,2,114.41000,0.36000,0.58
HD 113538,1,2,295.57000,0.93000,0.58
HD 114386,1,1,362.32620,1.14000,0.60
HD 114613,1,1,113.46531,0.35700,1.27
HD 114783,1,2,349.60000,1.10000,0.85
HD 114783,1,2,194.19413,0.61100,0.85
HD 11506,1,2,1535.11890,4.83000,1.24
HD 11506,1,2,129.67464,0.40800,1.24
HD 117207,1,1,612.14058,1.92600,1.05
HD 11755,1,1,1789.38290,5.63000,0.72
HD 117618,1,1,55.30242,0.17400,1.08
HD 118203,1,1,886.74570,2.79000,1.84
HD 11977,1,1,2080.00000,6.54000,1.91
HD 120084,1,1,1430.20000,4.50000,2.39
HD 121504,1,1,479.92330,1.51000,1.62
HD 12484,1,1,947.13340,2.98000,1.01
HD 125390,1,1,7043.11280,22.16000,1.36
HD 125595,1,1,6.35660,0.02000,0.29
HD 12648,1,1,622.94680,1.96000,0.67
HD 126525,1,1,75.32571,0.23700,0.90
HD 12661,1,2,772.32690,2.43000,1.20
HD 12661,1,2,575.88400,1.81200,1.02
HD 128311,1,2,562.24127,1.76900,0.83
HD 128311,1,2,1204.25787,3.78900,0.83
HD 128356,1,1,282.86870,0.89000,0.65
HD 129445,1,1,508.50700,1.60000,0.99
HD 130322,1,1,365.49000,1.15000,0.92
HD 131496,1,1,572.09400,1.80000,1.34
HD 131664,1,1,6076.90960,19.12000,1.19
HD 13167,1,1,1052.01730,3.31000,1.35
HD 13189,1,1,3480.23850,10.95000,2.24
HD 132406,1,1,1709.92540,5.38000,1.03
HD 134060,1,2,10.10000,0.03180,1.09
HD 134060,1,2,29.29000,0.09220,1.09
HD 134987,1,2,511.70630,1.61000,1.10
HD 134987,1,2,260.00000,0.82000,1.10
HD 136352,1,3,4.62000,0.01454,0.91
HD 136352,1,3,11.29000,0.03552,0.91
HD 136352,1,3,10.50000,0.03304,0.91
HD 136418,1,1,680.15620,2.14000,1.48
HD 137388,1,1,63.56600,0.20000,0.68
HD 13808,1,2,11.20000,0.03524,0.77
HD 13808,1,2,9.96000,0.03134,0.77
HD 13908,1,2,274.91000,0.86500,1.29
HD 13908,1,2,1630.40000,5.13000,1.29
HD 13931,1,1,699.22600,2.20000,1.30
HD 139357,1,1,3101.89000,9.76000,1.35
HD 1397,1,1,131.89945,0.41500,1.32
HD 14067,1,1,2479.00000,7.80000,2.40
HD 141399,1,4,143.34133,0.45100,1.07
HD 141399,1,4,422.71390,1.33000,1.07
HD 141399,1,4,375.03940,1.18000,1.07
HD 141399,1,4,209.76780,0.66000,1.07
HD 141937,1,1,3079.77270,9.69000,1.09
HD 142415,1,1,530.77610,1.67000,1.07
HD 143105,1,1,384.57430,1.21000,1.51
HD 143361,1,1,1122.57556,3.53200,0.97
HD 145377,1,1,1913.33660,6.02000,1.20
HD 145457,1,1,708.76090,2.23000,1.23
HD 145934,1,1,724.62000,2.28000,1.75
HD 1461,1,2,6.44000,0.02026,1.02
HD 1461,1,2,5.59000,0.01759,1.02
HD 147018,1,2,674.00000,2.12000,0.93
HD 147018,1,2,2080.00000,6.56000,0.93
HD 14787,1,1,356.28743,1.12100,1.43
HD 148156,1,1,270.14400,0.85000,1.22
HD 148164,1,2,390.93090,1.23000,1.21
HD 148164,1,2,1640.00280,5.16000,1.21
HD 148427,1,1,413.17900,1.30000,1.64
HD 149026,1,1,120.77540,0.38000,1.42
HD 149143,1,1,422.71390,1.33000,1.20
HD 1502,1,1,874.03250,2.75000,1.46
HD 150706,1,1,861.28000,2.71000,1.17
HD 152079,1,1,845.74563,2.66100,1.15
HD 152581,1,1,594.02427,1.86900,1.30
HD 15337,1,2,7.51000,0.02363,0.90
HD 15337,1,2,8.11000,0.02552,0.90
HD 153950,1,1,937.59850,2.95000,1.25
HD 154345,1,1,260.62060,0.82000,0.71
HD 154672,1,1,1706.74710,5.37000,1.18
HD 154857,1,2,778.68350,2.45000,1.96
HD 154857,1,2,819.97000,2.58000,1.72
HD 155358,1,2,314.65170,0.99000,1.15
HD 155358,1,2,261.00000,0.82000,0.92
HD 156279,1,2,3140.16040,9.88000,0.95
HD 156279,1,2,2733.33800,8.60000,0.93
HD 156411,1,1,235.18000,0.74000,1.25
HD 156668,1,1,4.15000,0.01300,0.77
HD 158038,1,1,486.27990,1.53000,1.30
HD 158259,1,5,2.22000,0.00698,1.08
HD 158259,1,5,5.60000,0.01762,1.08
HD 158259,1,5,5.41000,0.01702,1.08
HD 158259,1,5,6.08000,0.01913,1.08
HD 158259,1,5,6.14000,0.01932,1.08
HD 158996,1,1,4449.62000,14.00000,1.80
HD 159243,1,2,359.13000,1.13000,1.12
HD 159243,1,2,603.90000,1.90000,1.12
HD 159868,1,2,704.94694,2.21800,1.19
HD 159868,1,2,244.09344,0.76800,1.19
HD 1605,1,2,296.85322,0.93400,1.33
HD 1605,1,2,1150.54460,3.62000,1.33
HD 160691,1,4,532.68308,1.67600,1.08
HD 160691,1,4,576.51900,1.81400,1.08
HD 160691,1,4,10.55470,0.03321,1.08
HD 160691,1,4,165.86850,0.52190,1.08
HD 16175,1,1,1620.93300,5.10000,1.63
HD 162020,1,1,3127.44720,9.84000,0.42
HD 163607,1,2,249.05159,0.78360,1.12
HD 163607,1,2,699.54383,2.20100,1.12
HD 164604,1,1,635.00000,1.99792,0.77
HD 164922,1,3,116.00000,0.36497,0.93
HD 164922,1,3,13.00000,0.04090,0.93
HD 164922,1,3,4.00000,0.01259,0.93
HD 165155,1,1,918.52870,2.89000,1.02
HD 1666,1,1,2040.00000,6.43000,1.50
HD 166724,1,1,1121.89000,3.53000,0.81
HD 167042,1,1,540.29000,1.70000,1.72
HD 168443,1,2,2434.15700,7.65900,0.99
HD 168443,1,2,5464.22100,17.19300,0.99
HD 168746,1,1,85.81410,0.27000,1.07
HD 1690,1,1,2793.72570,8.79000,1.86
HD 169830,1,2,915.31000,2.88000,1.40
HD 169830,1,2,1283.98000,4.04000,1.40
HD 17092,1,1,3219.61790,10.13000,6.73
HD 171028,1,1,832.71460,2.62000,1.53
HD 171238,1,1,864.49760,2.72000,0.96
HD 17156,1,1,1115.58330,3.51000,1.41
