pl_name,hostname,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_orbeccen,st_spectype,st_teff,st_rad,st_mass,st_met,st_metratio,st_age,st_dens,sy_dist
EPIC 212297394 b,EPIC 212297394,1,1,2.28943000,,1.323,0.118,2.31000,0.00727,,,4987.49,0.75,0.83,,,,2.50384,418.3950000
EPIC 212424622 b,EPIC 212424622,1,1,18.09830000,,2.170,0.194,5.35000,0.01680,,,5782.33,1.22,1.11,,,,0.84195,611.8040000
EPIC 212499991 b,EPIC 212499991,1,1,34.88500000,,1.600,0.143,3.19000,0.01000,,,4982.79,0.76,0.91,,,,2.81669,283.2900000
EPIC 212587672 b,EPIC 212587672,1,1,15.28410000,,1.120,0.100,1.46000,0.00459,,,5864.75,0.98,0.95,-0.210,[Fe/H],,1.85888,320.0700000
EPIC 212737443 b,EPIC 212737443,1,2,13.60300000,0.098000,2.586,0.231,7.20000,0.02270,0.200000,K3,4684.00,0.67,0.69,-0.137,[Fe/H],,3.19000,336.2500000
EPIC 212737443 c,EPIC 212737443,1,2,65.55000000,0.280000,2.690,0.240,7.70000,0.02420,0.200000,K3,4684.00,0.67,0.69,-0.137,[Fe/H],,3.19000,336.2500000
EPIC 220554210 c,K2-282,1,2,0.70531000,,1.480,0.132,2.79000,0.00879,,,5523.00,1.01,0.94,0.150,[Fe/H],,1.44200,496.2890000
EPIC 220674823 b,EPIC 220674823,1,2,0.57133100,0.013400,1.820,0.162,7.72000,0.02429,0.000000,G5 V,5617.00,0.98,0.97,0.130,[Fe/H],5.000,1.35000,244.5900000
EPIC 220674823 c,EPIC 220674823,1,2,13.33907900,0.109100,2.730,0.244,5.80000,0.01825,0.180000,G5 V,5617.00,0.98,0.97,0.130,[Fe/H],5.000,1.35000,244.5900000
EPIC 246851721 b,EPIC 246851721,2,1,6.18023500,0.072290,11.781,1.051,953.49000,3.00000,,F5 V,6202.00,1.59,1.32,0.141,[Fe/H],3.020,0.46500,372.6320000
EPIC 248847494 b,EPIC 248847494,1,1,3650.00000000,4.500000,12.442,1.110,4131.79000,13.00000,0.000000,,4898.00,2.70,0.90,-0.230,[Fe/H],,0.06400,551.8860000
EPIC 249893012 b,EPIC 249893012,1,3,3.59510000,0.047000,1.950,0.174,8.75000,0.02753,0.060000,G8 IV/V,5430.00,1.71,1.05,0.200,[Fe/H],9.000,0.29800,321.2960000
EPIC 249893012 c,EPIC 249893012,1,3,15.62400000,0.130000,3.670,0.327,14.67000,0.04616,0.070000,G8 IV/V,5430.00,1.71,1.05,0.200,[Fe/H],9.000,0.29800,321.2960000
