pl_name,hostname,default_flag,sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_bmasse,pl_bmassj,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_metratio,st_logg,sy_gaiamag
BD-06 1339 c,BD-06 1339,1,1,2,125.94000000,0.435000,53.00000,0.17000,0.310000,,4324.00,,0.70,-0.140,[Fe/H],4.74,9.1067700
BD-08 2823 b,BD-08 2823,1,1,2,5.60000000,0.060000,12.71320,0.04000,0.150000,,4816.00,0.71,0.50,-0.060,[Fe/H],4.43,9.5033100
BD-08 2823 b,BD-08 2823,0,1,2,5.60000000,0.056000,14.40000,0.04500,0.150000,,4746.00,,0.74,-0.070,[Fe/H],4.13,9.5033100
BD-08 2823 c,BD-08 2823,1,1,2,237.60000000,0.680000,104.00000,0.33000,0.190000,,4746.00,,0.74,-0.070,[Fe/H],4.13,9.5033100
BD-10 3166 b,BD-10 3166,0,1,1,3.48700000,0.046000,152.55000,0.48000,0.050000,,5400.00,,1.10,0.500,[Fe/H],4.40,9.8398100
BD-10 3166 b,BD-10 3166,1,1,1,3.48777000,0.040000,187.51970,0.59000,0.020000,,5393.00,0.91,1.47,0.380,[Fe/H],4.69,9.8398100
BD-10 3166 b,BD-10 3166,0,1,1,3.48777000,0.045200,145.56000,0.45800,0.019000,,5393.00,,1.01,0.382,[Fe/H],4.68,9.8398100
BD-11 4672 b,BD-11 4672,0,1,2,1667.00000000,2.280000,168.44000,0.53000,0.050000,,4475.00,0.52,0.57,-0.480,[Fe/H],4.10,9.4851100
BD-11 4672 b,BD-11 4672,1,1,2,1634.00000000,2.360000,206.58950,0.65000,0.050000,,4550.00,0.64,0.65,-0.350,[Fe/H],4.64,9.4851100
BD-11 4672 c,BD-11 4672,1,1,2,74.20000000,0.300000,15.37000,0.04836,0.400000,,4550.00,0.64,0.65,-0.350,[Fe/H],4.64,9.4851100
BD-13 2130 b,BD-13 2130,1,1,1,714.29999000,1.660000,3108.37740,9.78000,0.210000,,4545.00,19.17,2.12,-0.080,[Fe/H],2.20,9.6997100
BD-13 2130 b,BD-13 2130,0,1,1,714.30000000,2.100000,3368.99800,10.60000,0.210000,,,,2.40,,,,9.6997100
BD-17 63 b,BD-17 63,1,1,1,655.60000000,1.340000,1620.90000,5.10000,0.540000,,4714.00,0.69,0.74,-0.030,[Fe/H],4.26,9.2011200
BD-17 63 b,BD-17 63,0,1,1,655.59998000,1.340000,905.81550,2.85000,0.540000,,4665.00,0.74,0.31,0.010,[Fe/H],4.19,9.2011200
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,1,10037.50000000,2.600000,3337.10000,10.50000,,370,580.50,,0.02,,,4.72,
CHXR 73 b,CHXR 73,1,1,1,,210.000000,3994.48600,12.56900,,,,,0.35,,,,17.2934000
CI Tau b,CI Tau,1,1,1,8.98910000,,3686.82800,11.60000,0.250000,,,,0.90,,,,12.1454000
CT Cha b,CT Cha,1,1,1,,440.000000,5403.00000,17.00000,,2600,,,,,,,11.7733000
CoRoT-1 b,CoRoT-1,0,1,1,1.50895570,0.026100,359.14790,1.13000,0.000000,,5950.00,1.14,1.03,,,,13.4570000
CoRoT-1 b,CoRoT-1,0,1,1,1.50897655,0.025900,340.07810,1.07000,0.071000,1834,5950.00,,,-0.300,[Fe/H],4.25,13.4570000
CoRoT-1 b,CoRoT-1,0,1,1,1.50896820,0.027520,390.93090,1.23000,0.036000,,6298.00,1.23,1.22,0.060,,,13.4570000
CoRoT-1 b,CoRoT-1,1,1,1,1.50895570,,327.35000,1.03000,0.000000,1898,5950.00,1.11,0.95,-0.300,[M/H],4.25,13.4570000
CoRoT-1 b,CoRoT-1,0,1,1,1.50896860,0.025360,327.36490,1.03000,,1915,5950.00,1.13,0.95,-0.300,[Fe/H],4.31,13.4570000
CoRoT-10 b,CoRoT-10,0,1,1,13.24060000,0.106000,883.56740,2.78000,,647,5075.00,0.74,0.90,0.260,[Fe/H],4.65,14.6645000
CoRoT-10 b,CoRoT-10,0,1,1,13.24060000,0.105500,867.67590,2.73000,0.524000,,5075.00,0.79,0.89,0.260,,,14.6645000
CoRoT-10 b,CoRoT-10,1,1,1,13.24060000,0.105500,874.00000,2.75000,0.530000,600,5075.00,0.79,0.89,0.260,[Fe/H],4.65,14.6645000
CoRoT-11 b,CoRoT-11,0,1,1,,,,,,,6343.00,1.36,1.56,0.040,[Fe/H],4.27,12.8410000
CoRoT-11 b,CoRoT-11,0,1,1,2.99433000,0.044000,743.72220,2.34000,,1735,6440.00,1.37,1.26,-0.030,[Fe/H],4.26,12.8410000
CoRoT-11 b,CoRoT-11,0,1,1,2.99432500,0.044070,832.71460,2.62000,0.360000,,6440.00,1.37,1.27,0.030,,,12.8410000
